,Unnamed: 0,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
101,101.0,319803.642,-0.33999999999999986,6.58,6.97,6.51,6.97,-4.9133,6.92,20191029,600812.SH,480317.67
102,102.0,196674.475,0.11000000000000032,6.92,6.94,6.75,6.81,1.6153,6.81,20191028,600812.SH,286588.76
103,103.0,186212.37300000002,0.029999999999999364,6.81,6.91,6.73,6.73,0.4425,6.78,20191025,600812.SH,272492.33
104,104.0,170990.01,-0.040000000000000036,6.78,6.89,6.7,6.82,-0.5865,6.82,20191024,600812.SH,252097.62
105,105.0,194866.225,-0.16000000000000014,6.82,7.01,6.74,7.01,-2.2923,6.98,20191023,600812.SH,283937.53
106,106.0,186792.044,0.03000000000000025,6.98,7.08,6.89,6.99,0.4317,6.95,20191022,600812.SH,268008.72
107,107.0,204429.079,0.040000000000000036,6.95,7.02,6.72,6.97,0.5789,6.91,20191021,600812.SH,297202.09
108,108.0,272503.584,-0.29000000000000004,6.91,7.25,6.89,7.16,-4.0278,7.2,20191018,600812.SH,386912.85
109,109.0,184690.32,0.020000000000000462,7.2,7.29,7.07,7.23,0.2786,7.18,20191017,600812.SH,257448.98
110,110.0,160698.262,-0.10000000000000052,7.18,7.31,7.13,7.26,-1.3736,7.28,20191016,600812.SH,223305.86
111,111.0,283259.184,-0.17999999999999972,7.28,7.43,7.09,7.41,-2.4129,7.46,20191015,600812.SH,392786.65
112,112.0,266168.696,0.08000000000000007,7.46,7.57,7.35,7.38,1.084,7.38,20191014,600812.SH,357207.95
113,113.0,397890.05700000003,-0.1299999999999999,7.38,7.74,7.36,7.5,-1.7309999999999999,7.51,20191011,600812.SH,528088.69
114,114.0,354630.3,0.10999999999999943,7.51,7.53,7.31,7.41,1.4865,7.4,20191010,600812.SH,477638.03
115,115.0,255811.94,0.0600000000000005,7.4,7.41,7.07,7.25,0.8174,7.34,20191009,600812.SH,352899.2
116,116.0,359272.07700000005,0.21,7.34,7.47,7.17,7.23,2.9453,7.13,20191008,600812.SH,489019.84
117,117.0,339793.655,-0.29000000000000004,7.13,7.55,7.05,7.45,-3.9084,7.42,20190930,600812.SH,470384.8
118,118.0,352292.385,-0.040000000000000036,7.42,7.6,7.33,7.39,-0.5362,7.46,20190927,600812.SH,472192.26
119,119.0,734361.91,-0.7600000000000007,7.46,8.25,7.4,8.15,-9.2457,8.22,20190926,600812.SH,954360.72
120,120.0,771143.555,-0.4799999999999986,8.22,8.57,8.02,8.5,-5.5172,8.7,20190925,600812.SH,934191.32
121,121.0,956024.493,-0.4000000000000004,8.7,9.07,8.53,8.84,-4.3956,9.1,20190924,600812.SH,1088879.61
122,122.0,1319984.679,-1.0099999999999998,9.1,10.37,9.1,10.33,-9.9901,10.11,20190923,600812.SH,1394458.96
123,123.0,1428630.086,0.92,10.11,10.11,9.01,9.14,10.0109,9.19,20190920,600812.SH,1493993.18
124,124.0,1253583.8059999999,0.5399999999999991,9.19,9.5,8.52,8.6,6.2428,8.65,20190919,600812.SH,1366044.72
125,125.0,815713.437,-0.35999999999999943,8.65,9.08,8.11,8.86,-3.9956,9.01,20190918,600812.SH,941588.21
126,126.0,1213398.9579999999,0.3100000000000005,9.01,9.36,8.56,8.65,3.5632,8.7,20190917,600812.SH,1339263.31
